gene1,gene2
ENSG00000019582,ENSG00000149557
ENSG00000019582,ENSG00000198728
ENSG00000019582,ENSG00000169855
ENSG00000019582,ENSG00000188393
ENSG00000019582,ENSG00000184697
ENSG00000019582,ENSG00000169271
ENSG00000019582,ENSG00000197753
ENSG00000019991,ENSG00000101336
ENSG00000020426,ENSG00000147065
ENSG00000020426,ENSG00000136634
ENSG00000020426,ENSG00000065054
ENSG00000020426,ENSG00000198176
ENSG00000020633,ENSG00000121879
ENSG00000021355,ENSG00000158773
ENSG00000021776,ENSG00000170293
ENSG00000021776,ENSG00000135441
ENSG00000021776,ENSG00000137942
ENSG00000021826,ENSG00000118137
ENSG00000021852,ENSG00000129460
ENSG00000021852,ENSG00000215218
ENSG00000022556,ENSG00000067533
ENSG00000023228,ENSG00000124571
ENSG00000023228,ENSG00000167080
ENSG00000023228,ENSG00000154016
ENSG00000023228,ENSG00000150961
ENSG00000023287,ENSG00000116095
ENSG00000023330,ENSG00000156873
ENSG00000023445,ENSG00000182890
ENSG00000023445,ENSG00000226761
ENSG00000023445,ENSG00000167419
ENSG00000023445,ENSG00000163202
ENSG00000023608,ENSG00000101407
ENSG00000023608,ENSG00000158526
ENSG00000023697,ENSG00000274274
ENSG00000023734,ENSG00000170293
ENSG00000023909,ENSG00000153071
ENSG00000023909,ENSG00000078668
ENSG00000025039,ENSG00000198807
ENSG00000025293,ENSG00000090104
ENSG00000025423,ENSG00000161513
ENSG00000025423,ENSG00000088926
ENSG00000025423,ENSG00000254997
ENSG00000025423,ENSG00000153820
ENSG00000025423,ENSG00000143751
ENSG00000025796,ENSG00000188089
ENSG00000026025,ENSG00000122121
ENSG00000026103,ENSG00000213341
ENSG00000026103,ENSG00000167419
ENSG00000026508,ENSG00000121410
ENSG00000026508,ENSG00000100060
ENSG00000026508,ENSG00000101361
ENSG00000026508,ENSG00000102349
ENSG00000026508,ENSG00000134352
ENSG00000026508,ENSG00000137707
ENSG00000026508,ENSG00000105205
ENSG00000026508,ENSG00000183751
ENSG00000026508,ENSG00000108590
ENSG00000026508,ENSG00000129295
ENSG00000027644,ENSG00000184724
ENSG00000027697,ENSG00000170037
ENSG00000027697,ENSG00000275700
ENSG00000027847,ENSG00000111666
ENSG00000028137,ENSG00000167419
ENSG00000028203,ENSG00000110881
ENSG00000028310,ENSG00000089053
ENSG00000028839,ENSG00000154832
ENSG00000028839,ENSG00000213995
ENSG00000028839,ENSG00000099381
ENSG00000028839,ENSG00000117222
ENSG00000029559,ENSG00000100060
ENSG00000029639,ENSG00000117475
ENSG00000029639,ENSG00000129083
ENSG00000030066,ENSG00000158435
ENSG00000030066,ENSG00000142409
ENSG00000031691,ENSG00000118997
ENSG00000032219,ENSG00000089597
ENSG00000032444,ENSG00000198408
ENSG00000032742,ENSG00000143947
ENSG00000032742,ENSG00000173867
ENSG00000032742,ENSG00000261609
ENSG00000032742,ENSG00000132716
ENSG00000032742,ENSG00000105810
ENSG00000032742,ENSG00000087448
ENSG00000032742,ENSG00000145041
ENSG00000032742,ENSG00000173207
ENSG00000032742,ENSG00000143164
ENSG00000032742,ENSG00000121022
ENSG00000032742,ENSG00000100644
ENSG00000032742,ENSG00000129559
ENSG00000032742,ENSG00000109670
ENSG00000032742,ENSG00000100991
ENSG00000032742,ENSG00000112659
ENSG00000032742,ENSG00000177700
ENSG00000032742,ENSG00000146021
ENSG00000032742,ENSG00000104825
ENSG00000032742,ENSG00000099949
ENSG00000032742,ENSG00000144231
ENSG00000032742,ENSG00000147669
ENSG00000032742,ENSG00000154582
ENSG00000032742,ENSG00000055130
ENSG00000032742,ENSG00000145604
ENSG00000032742,ENSG00000145332
ENSG00000032742,ENSG00000138663
ENSG00000032742,ENSG00000109332
ENSG00000032742,ENSG00000120696
ENSG00000032742,ENSG00000109079
ENSG00000032742,ENSG00000165572
ENSG00000032742,ENSG00000150991
ENSG00000032742,ENSG00000047315
ENSG00000032742,ENSG00000110906
ENSG00000032742,ENSG00000111276
ENSG00000032742,ENSG00000112029
ENSG00000032742,ENSG00000114125
ENSG00000032742,ENSG00000169018
ENSG00000032742,ENSG00000113558
ENSG00000032742,ENSG00000141552
ENSG00000032742,ENSG00000113851
ENSG00000032742,ENSG00000173163
ENSG00000032742,ENSG00000044090
ENSG00000032742,ENSG00000166233
ENSG00000032742,ENSG00000130725
ENSG00000032742,ENSG00000130766
ENSG00000032742,ENSG00000141965
ENSG00000032742,ENSG00000169727
ENSG00000032742,ENSG00000105173
ENSG00000032742,ENSG00000049167
ENSG00000032742,ENSG00000005981
ENSG00000032742,ENSG00000188215
ENSG00000032742,ENSG00000136485
ENSG00000032742,ENSG00000079999
ENSG00000032742,ENSG00000036257
ENSG00000032742,ENSG00000198642
ENSG00000032742,ENSG00000185651
ENSG00000032742,ENSG00000197776
ENSG00000032742,ENSG00000166266
ENSG00000032742,ENSG00000110497
ENSG00000032742,ENSG00000121067
ENSG00000032742,ENSG00000144744
ENSG00000032742,ENSG00000107341
ENSG00000032742,ENSG00000163376
ENSG00000032742,ENSG00000156509
ENSG00000032742,ENSG00000049246
ENSG00000032742,ENSG00000072803
